"id","name","viirs_bm_mean","viirs_bm_sum","viirs_bm_syr_mean","viirs_bm_syr_sum","viirs_bm_lbn_mean","viirs_bm_lbn_sum","year","month","date","buffer"
1,"Al Masnaa",35.3796463012695,2528.53393554688,50.2700233459473,2421.5322265625,4.59272241592407,107.001724243164,2012,1,2012-01-01,2000
2,"Al Aridah",0.772491276264191,30.1059341430664,0,0,0.93552964925766,30.1059341430664,2012,1,2012-01-01,2000
3,"Al Abbudiyah",5.06795406341553,366.362274169922,3.2146909236908,131.181869506836,7.47007942199707,235.180404663086,2012,1,2012-01-01,2000
4,"Al Buqayaa",8.2414722442627,595.88232421875,12.7182607650757,527.323059082031,2.2229905128479,68.5592803955078,2012,1,2012-01-01,2000
5,"Al Qaa",11.2065773010254,807.532531738281,13.6681232452393,497.056182861328,8.69859313964844,310.476379394531,2012,1,2012-01-01,2000
6,"Matraba",7.95811462402344,575.709411621094,13.3022527694702,384.052001953125,4.40883255004883,191.657409667969,2012,1,2012-01-01,2000
1,"Al Masnaa",30.2439594268799,2161.49365234375,40.9516410827637,1972.66101074219,8.10506057739258,188.832534790039,2013,1,2013-01-01,2000
2,"Al Aridah",6.07454633712769,236.740386962891,3.19486474990845,21.6991844177246,6.68231821060181,215.041213989258,2013,1,2013-01-01,2000
3,"Al Abbudiyah",12.3989639282227,896.320861816406,6.96249628067017,284.118530273438,19.4454975128174,612.202331542969,2013,1,2013-01-01,2000
4,"Al Buqayaa",0.759348094463348,54.9030647277832,0.551597893238068,22.8702869415283,1.03864204883575,32.0327758789062,2013,1,2013-01-01,2000
5,"Al Qaa",4.1702356338501,300.502166748047,2.80933952331543,102.164688110352,5.5568060874939,198.337478637695,2013,1,2013-01-01,2000
6,"Matraba",13.2431983947754,958.045227050781,17.1600189208984,495.430328369141,10.6418609619141,462.614868164062,2013,1,2013-01-01,2000
1,"Al Masnaa",16.4198379516602,1173.5029296875,23.9136238098145,1151.93127441406,0.925897657871246,21.5716590881348,2014,1,2014-01-01,2000
2,"Al Aridah",5.17481803894043,201.675704956055,0.871504902839661,5.91916942596436,6.0830545425415,195.756530761719,2014,1,2014-01-01,2000
3,"Al Abbudiyah",21.8601951599121,1580.27307128906,14.4326419830322,588.952697753906,31.4874954223633,991.320373535156,2014,1,2014-01-01,2000
4,"Al Buqayaa",6.33308553695679,457.900421142578,8.88757991790771,368.495819091797,2.89888596534729,89.4045867919922,2014,1,2014-01-01,2000
5,"Al Qaa",3.1964910030365,230.335311889648,3.1176118850708,113.375350952148,3.27685832977295,116.9599609375,2014,1,2014-01-01,2000
6,"Matraba",18.7741546630859,1358.16809082031,18.2134609222412,525.844482421875,19.1465358734131,832.323608398438,2014,1,2014-01-01,2000
1,"Al Masnaa",15.3716135025024,1098.58776855469,20.776834487915,1000.83056640625,4.19593334197998,97.7572860717773,2015,1,2015-01-01,2000
2,"Al Aridah",7.31239986419678,284.982666015625,0.81337434053421,5.52435255050659,8.68405342102051,279.458312988281,2015,1,2015-01-01,2000
3,"Al Abbudiyah",14.0138492584229,1013.06085205078,9.10432243347168,371.52001953125,20.3773822784424,641.540832519531,2015,1,2015-01-01,2000
4,"Al Buqayaa",3.64588403701782,263.607971191406,3.2437732219696,134.492950439453,4.1864709854126,129.115020751953,2015,1,2015-01-01,2000
5,"Al Qaa",5.09295177459717,366.992004394531,2.24320864677429,81.5767211914062,7.99645853042603,285.415283203125,2015,1,2015-01-01,2000
6,"Matraba",13.0636014938354,945.052795410156,11.6176242828369,335.414764404297,14.0239410400391,609.638061523438,2015,1,2015-01-01,2000
1,"Al Masnaa",17.230640411377,1231.44982910156,24.6468524932861,1187.25122070312,1.89709055423737,44.1986122131348,2016,1,2016-01-01,2000
2,"Al Aridah",4.73726987838745,184.623352050781,0.550460159778595,3.73866748809814,5.62091827392578,180.884689331055,2016,1,2016-01-01,2000
3,"Al Abbudiyah",18.2959575653076,1322.61437988281,10.6057767868042,432.789825439453,28.2636623382568,889.824523925781,2016,1,2016-01-01,2000
4,"Al Buqayaa",1.82565307617188,132,1.43634212017059,59.5534515380859,2.34903264045715,72.4465484619141,2016,1,2016-01-01,2000
5,"Al Qaa",0.638367533683777,46,0.0747623220086098,2.71881318092346,1.21260571479797,43.2811851501465,2016,1,2016-01-01,2000
6,"Matraba",6.18186283111572,447.211029052734,5.82936954498291,168.300903320312,6.41596937179565,278.910125732422,2016,1,2016-01-01,2000
1,"Al Masnaa",14.7341794967651,1053.03125,21.3914699554443,1030.43786621094,0.969751298427582,22.5933666229248,2017,1,2017-01-01,2000
2,"Al Aridah",9.03734302520752,352.208038330078,0.167303293943405,1.13630628585815,10.9094123840332,351.071746826172,2017,1,2017-01-01,2000
3,"Al Abbudiyah",9.74711990356445,704.619079589844,6.3569655418396,259.408630371094,14.141303062439,445.21044921875,2017,1,2017-01-01,2000
4,"Al Buqayaa",5.08863687515259,367.923187255859,3.95414733886719,163.946395874023,6.6138162612915,203.976806640625,2017,1,2017-01-01,2000
5,"Al Qaa",5.89618253707886,424.871826171875,2.30174732208252,83.7055435180664,9.55842971801758,341.166259765625,2017,1,2017-01-01,2000
6,"Matraba",11.9266738891602,862.8046875,8.61112022399902,248.613372802734,14.12868309021,614.191345214844,2017,1,2017-01-01,2000
1,"Al Masnaa",19.0241317749023,1359.62817382812,27.2984218597412,1314.97863769531,1.9164434671402,44.6494979858398,2018,1,2018-01-01,2000
2,"Al Aridah",7.10098695755005,276.743377685547,1.98612153530121,13.4895277023315,8.18050670623779,263.253845214844,2018,1,2018-01-01,2000
3,"Al Abbudiyah",15.0009164810181,1084.41589355469,7.53719806671143,307.570373535156,24.6750888824463,776.845458984375,2018,1,2018-01-01,2000
4,"Al Buqayaa",4.78781461715698,346.1728515625,4.694411277771,194.639129638672,4.91338300704956,151.533721923828,2018,1,2018-01-01,2000
5,"Al Qaa",4.05541801452637,292.228546142578,4.20314025878906,152.851776123047,3.90490889549255,139.37678527832,2018,1,2018-01-01,2000
6,"Matraba",7.78200387954712,562.969116210938,5.5030779838562,158.880462646484,9.29554080963135,404.088653564453,2018,1,2018-01-01,2000
1,"Al Masnaa",21.8850784301758,1564.09606933594,30.2796173095703,1458.58435058594,4.52876853942871,105.51171875,2019,1,2019-01-01,2000
2,"Al Aridah",4.40654611587524,171.734222412109,0.0878957509994507,0.596978664398193,5.31802034378052,171.137237548828,2019,1,2019-01-01,2000
3,"Al Abbudiyah",17.4792976379395,1263.57800292969,9.87870407104492,403.120208740234,27.3308811187744,860.457763671875,2019,1,2019-01-01,2000
4,"Al Buqayaa",3.6291389465332,262.397247314453,2.41640257835388,100.188598632812,5.25951051712036,162.208648681641,2019,1,2019-01-01,2000
5,"Al Qaa",5.20053148269653,374.744049072266,4.52999830245972,164.738327026367,5.88371467590332,210.005722045898,2019,1,2019-01-01,2000
6,"Matraba",15.237211227417,1102.29699707031,12.1360836029053,350.38330078125,17.2968101501465,751.913696289062,2019,1,2019-01-01,2000
1,"Al Masnaa",22.7474765777588,1625.73046875,31.588342666626,1521.62634277344,4.46835470199585,104.104194641113,2020,1,2020-01-01,2000
2,"Al Aridah",9.54912948608398,372.153656005859,3.79959487915039,25.8064479827881,10.762598991394,346.347198486328,2020,1,2020-01-01,2000
3,"Al Abbudiyah",16.9892501831055,1228.15246582031,11.1443567276001,454.767669677734,24.5651664733887,773.384826660156,2020,1,2020-01-01,2000
4,"Al Buqayaa",8.15634822845459,589.727600097656,3.08875679969788,128.065673828125,14.9690895080566,461.661926269531,2020,1,2020-01-01,2000
5,"Al Qaa",1.89324283599854,136.4248046875,0.784359276294708,28.5240783691406,3.02304649353027,107.900726318359,2020,1,2020-01-01,2000
6,"Matraba",17.8943004608154,1294.51733398438,16.7153835296631,482.593170166016,18.6772727966309,811.924133300781,2020,1,2020-01-01,2000
1,"Al Masnaa",4.69890737533569,335.824340820312,6.09252595901489,293.480041503906,1.81750023365021,42.3443069458008,2021,1,2021-01-01,2000
2,"Al Aridah",3.10046482086182,120.832931518555,0,0,3.75483417510986,120.832931518555,2021,1,2021-01-01,2000
3,"Al Abbudiyah",15.1066780090332,1092.06140136719,5.64354038238525,230.295913696289,27.3724212646484,861.765563964844,2021,1,2021-01-01,2000
4,"Al Buqayaa",2.12405776977539,153.575531005859,1.41067659854889,58.4893112182617,3.08310914039612,95.0862121582031,2021,1,2021-01-01,2000
5,"Al Qaa",8.60006809234619,619.710571289062,4.25751304626465,154.8291015625,13.0245494842529,464.881469726562,2021,1,2021-01-01,2000
6,"Matraba",9.18456649780273,664.433959960938,4.65618371963501,134.429611206055,12.1920709609985,530.00439453125,2021,1,2021-01-01,2000
1,"Al Masnaa",5.37326574325562,384.019805908203,6.85066556930542,330,2.31863832473755,54.0198745727539,2022,1,2022-01-01,2000
2,"Al Aridah",3.68679809570312,143.683822631836,0.75107216835022,5.10120296478271,4.30639886856079,138.582626342773,2022,1,2022-01-01,2000
3,"Al Abbudiyah",4.71643590927124,340.951049804688,1.08969974517822,44.4673690795898,9.41726779937744,296.483703613281,2022,1,2022-01-01,2000
4,"Al Buqayaa",0.483584523200989,34.9645614624023,0.274146288633347,11.3666219711304,0.765147984027863,23.5979404449463,2022,1,2022-01-01,2000
5,"Al Qaa",5.31027126312256,382.651763916016,2.39935708045959,87.2552337646484,8.27610301971436,295.396545410156,2022,1,2022-01-01,2000
6,"Matraba",2.58197712898254,186.786514282227,3.56814122200012,103.01651763916,1.92702126502991,83.7699966430664,2022,1,2022-01-01,2000
1,"Al Masnaa",14.6332864761353,1045.82055664062,17.9113941192627,862.800842285156,7.8555645942688,183.019760131836,2012,2,2012-02-01,2000
2,"Al Aridah",6.1872444152832,241.132522583008,0.402460634708405,2.73347020149231,7.40815353393555,238.399047851562,2012,2,2012-02-01,2000
3,"Al Abbudiyah",19.2090034484863,1388.61840820312,22.7088203430176,926.678649902344,14.672679901123,461.939788818359,2012,2,2012-02-01,2000
4,"Al Buqayaa",7.07084703445435,511.242706298828,10.4585819244385,433.632507324219,2.51646041870117,77.6101913452148,2012,2,2012-02-01,2000
5,"Al Qaa",10.5217027664185,758.181274414062,13.120041847229,477.124603271484,7.87434434890747,281.056701660156,2012,2,2012-02-01,2000
6,"Matraba",8.3962287902832,607.403625488281,12.3656253814697,357.010437011719,5.75997400283813,250.393188476562,2012,2,2012-02-01,2000
1,"Al Masnaa",27.6777172088623,1978.087890625,39.7583312988281,1915.1787109375,2.70018553733826,62.9092025756836,2013,2,2013-02-01,2000
2,"Al Aridah",4.40724325180054,171.761383056641,1.3115656375885,8.90801525115967,5.06060218811035,162.853363037109,2013,2,2013-02-01,2000
3,"Al Abbudiyah",14.964674949646,1081.79602050781,15.6247606277466,637.599487304688,14.1090984344482,444.196563720703,2013,2,2013-02-01,2000
4,"Al Buqayaa",7.858567237854,568.197143554688,10.900260925293,451.945343017578,3.76938962936401,116.251800537109,2013,2,2013-02-01,2000
5,"Al Qaa",1.84740281105042,133.121627807617,1.68527960777283,61.2870292663574,2.0125846862793,71.834602355957,2013,2,2013-02-01,2000
6,"Matraba",10.5345306396484,762.093627929688,14.3123731613159,413.215393066406,8.0254955291748,348.878234863281,2013,2,2013-02-01,2000
1,"Al Masnaa",16.830493927002,1202.85192871094,24.9671783447266,1202.68151855469,0.00731672160327435,0.170465737581253,2014,2,2014-02-01,2000
2,"Al Aridah",4.44714260101318,173.316360473633,2.18049168586731,14.8096685409546,4.92553091049194,158.506683349609,2014,2,2014-02-01,2000
3,"Al Abbudiyah",18.5863914489746,1343.60986328125,14.6566801071167,598.095031738281,23.6799259185791,745.514770507812,2014,2,2014-02-01,2000
4,"Al Buqayaa",8.8495922088623,639.851135253906,11.3986988067627,472.611541748047,5.42263650894165,167.239608764648,2014,2,2014-02-01,2000
5,"Al Qaa",2.84489893913269,205,2.90065026283264,105.485305786133,2.78809571266174,99.5146942138672,2014,2,2014-02-01,2000
6,"Matraba",10.5603799819946,763.963623046875,15.8774347305298,458.400604248047,7.02908515930176,305.563018798828,2014,2,2014-02-01,2000
1,"Al Masnaa",10.8677377700806,776.702026367188,13.3368120193481,642.44091796875,5.76275062561035,134.261154174805,2015,2,2015-02-01,2000
2,"Al Aridah",6.41973257064819,250.193176269531,4.64075565338135,31.5195236206055,6.79519462585449,218.673645019531,2015,2,2015-02-01,2000
3,"Al Abbudiyah",11.0161018371582,796.353759765625,6.25035190582275,255.058059692383,17.1932754516602,541.295654296875,2015,2,2015-02-01,2000
4,"Al Buqayaa",2.02358031272888,146.31071472168,1.31891787052155,54.6848182678223,2.97091031074524,91.6258926391602,2015,2,2015-02-01,2000
5,"Al Qaa",1.99432861804962,143.708923339844,0.760447680950165,27.6545085906982,3.25148773193359,116.054412841797,2015,2,2015-02-01,2000
6,"Matraba",10.6303405761719,769.024780273438,6.66483926773071,192.421905517578,13.2640085220337,576.602844238281,2015,2,2015-02-01,2000
1,"Al Masnaa",15.1708841323853,1084.24194335938,20.6452941894531,994.494201660156,3.85214710235596,89.7477188110352,2016,2,2016-02-01,2000
2,"Al Aridah",3.91826009750366,152.704483032227,1.15684986114502,7.85720252990723,4.50107049942017,144.847290039062,2016,2,2016-02-01,2000
3,"Al Abbudiyah",11.0530662536621,799.025939941406,6.88348484039307,280.894317626953,16.4575099945068,518.131591796875,2016,2,2016-02-01,2000
4,"Al Buqayaa",6.35927057266235,459.793670654297,6.78404808044434,281.279418945312,5.78820991516113,178.514266967773,2016,2,2016-02-01,2000
5,"Al Qaa",1.41495251655579,101.959777832031,0.218252912163734,7.93700504302979,2.63422894477844,94.0227737426758,2016,2,2016-02-01,2000
6,"Matraba",9.96627998352051,720.984985351562,6.10676670074463,176.309692382812,12.5295562744141,544.67529296875,2016,2,2016-02-01,2000
1,"Al Masnaa",14.0524034500122,1004.3056640625,19.4173622131348,935.344055175781,2.95996642112732,68.9616012573242,2017,2,2017-02-01,2000
2,"Al Aridah",3.48395085334778,135.778350830078,0.786640226840973,5.34277725219727,4.05323266983032,130.435577392578,2017,2,2017-02-01,2000
3,"Al Abbudiyah",11.6219673156738,840.151794433594,6.25331449508667,255.178955078125,18.5806007385254,584.972778320312,2017,2,2017-02-01,2000
4,"Al Buqayaa",1.98602414131165,143.595291137695,0.896514236927032,37.1711692810059,3.45073366165161,106.424125671387,2017,2,2017-02-01,2000
5,"Al Qaa",4.9937424659729,359.843078613281,1.08993935585022,39.636833190918,8.97119426727295,320.206237792969,2017,2,2017-02-01,2000
6,"Matraba",9.6855058670044,700.673095703125,7.80127286911011,225.232116699219,10.9369087219238,475.440948486328,2017,2,2017-02-01,2000
1,"Al Masnaa",23.9542427062988,1711.97631835938,31.8973064422607,1536.50927734375,7.53138780593872,175.467056274414,2018,2,2018-02-01,2000
2,"Al Aridah",5.87705898284912,229.043823242188,4.58222007751465,31.1219539642334,6.1503415107727,197.921859741211,2018,2,2018-02-01,2000
3,"Al Abbudiyah",22.7543315887451,1644.91015625,12.3900661468506,505.601318359375,36.1880798339844,1139.30883789062,2018,2,2018-02-01,2000
4,"Al Buqayaa",8.68308448791504,627.812133789062,8.35265445709229,346.316802978516,9.12730407714844,281.495330810547,2018,2,2018-02-01,2000
5,"Al Qaa",5.89988994598389,425.138977050781,5.99452543258667,217.997436523438,5.80346870422363,207.141525268555,2018,2,2018-02-01,2000
6,"Matraba",21.4238166809082,1549.85107421875,20.3534412384033,587.628295898438,22.1347007751465,962.222839355469,2018,2,2018-02-01,2000
1,"Al Masnaa",17.287805557251,1235.53540039062,25.6121864318848,1233.75183105469,0.0765568017959595,1.78362822532654,2019,2,2019-02-01,2000
2,"Al Aridah",3.30251884460449,128.707489013672,0.390525758266449,2.65240979194641,3.91711044311523,126.055084228516,2019,2,2019-02-01,2000
3,"Al Abbudiyah",13.6827297210693,989.124206542969,5.27444744110107,215.234329223633,24.5812091827393,773.889892578125,2019,2,2019-02-01,2000
4,"Al Buqayaa",4.45884561538696,322.387451171875,2.54975032806396,105.71745300293,7.0253849029541,216.669998168945,2019,2,2019-02-01,2000
5,"Al Qaa",3.38612365722656,244,1.50878357887268,54.8685569763184,5.29888153076172,189.131439208984,2019,2,2019-02-01,2000
6,"Matraba",12.4206314086914,898.538757324219,11.0958118438721,320.349395751953,13.3005046844482,578.189392089844,2019,2,2019-02-01,2000
1,"Al Masnaa",13.3881034851074,956.8291015625,19.6025428771973,944.264282226562,0.539306223392487,12.5648126602173,2020,2,2020-02-01,2000
2,"Al Aridah",4.91640186309814,191.604583740234,0.467656999826431,3.17627692222595,5.85533285140991,188.428298950195,2020,2,2020-02-01,2000
3,"Al Abbudiyah",11.4627571105957,828.642456054688,5.95074653625488,242.832061767578,18.6072044372559,585.810363769531,2020,2,2020-02-01,2000
4,"Al Buqayaa",2.65768361091614,192.158218383789,0.244492635130882,10.1371250152588,5.90191650390625,182.021087646484,2020,2,2020-02-01,2000
5,"Al Qaa",2.81188011169434,202.620712280273,0.809995293617249,29.4563617706299,4.85153245925903,173.164352416992,2020,2,2020-02-01,2000
